indexain24	降水等级
1	113.4	大暴雨
2	86.1	暴雨
3	19.2	中雨
4	103.8	大暴雨
5	28.2	大雨
6	139.6	大暴雨
7	119.3	大暴雨
8	120.9	大暴雨
9	122.9	大暴雨
10	37.5	大雨
11	38.7	大雨
12	219.1	大暴雨
13	186.3	大暴雨
14	124.2	大暴雨
15	237.8	大暴雨
16	132.5	大暴雨
17	215.5	大暴雨
18	192.6	大暴雨
19	9.1	小雨
20	66.5	暴雨
21	171.4	大暴雨
22	171.3	大暴雨
23	180.2	大暴雨
24	46.5	大雨
25	207.2	大暴雨
26	44.6	大雨
27	7.7	小雨
28	13.6	中雨
29	105.1	大暴雨
30	246.2	大暴雨
31	33.7	大雨
32	138.6	大暴雨
33	64.9	暴雨
34	6.9	小雨
35	221.3	大暴雨
36	195.1	大暴雨
37	101.5	大暴雨
38	120.8	大暴雨
39	57.9	暴雨
40	156.5	大暴雨
41	16.3	中雨
42	152.3	大暴雨
43	115.4	大暴雨
44	175.8	大暴雨
45	244.1	大暴雨
46	217.2	大暴雨
47	3.1	小雨
48	12.8	中雨
49	33.2	大雨
50	227.3	大暴雨
51	113.8	大暴雨
52	13.6	中雨
53	161.8	大暴雨
54	161.5	大暴雨
55	234.2	大暴雨
56	77.4	暴雨
57	43.8	大雨
58	100.4	大暴雨
59	223.9	大暴雨
60	162.6	大暴雨
61	33.4	大雨
62	109.2	大暴雨
63	40.9	大雨
64	169.7	大暴雨
65	50.5	暴雨
66	9.7	小雨
67	233.1	大暴雨
68	2.6	小雨
69	18.0	中雨
70	237.1	大暴雨
71	204.9	大暴雨
72	48.8	大雨
73	183.5	大暴雨
74	191.1	大暴雨
75	176.1	大暴雨
76	82.1	暴雨
77	242.9	大暴雨
78	48.8	大雨
79	10.9	中雨
80	243.8	大暴雨
81	116.9	大暴雨
82	192.0	大暴雨
83	247.0	大暴雨
84	218.5	大暴雨
85	213.8	大暴雨
86	181.8	大暴雨
87	184.7	大暴雨
88	32.0	大雨
89	28.1	大雨
90	156.8	大暴雨
91	56.7	暴雨
92	0.6	小雨
93	166.8	大暴雨
94	208.6	大暴雨
95	211.6	大暴雨
96	71.5	暴雨
97	189.8	大暴雨
98	217.3	大暴雨
99	74.1	暴雨
100	71.0	暴雨
