index rain24
1 113.4
2 86.1
3 19.2
4 103.8
5 28.2
6 139.6
7 119.3
8 120.9
9 122.9
10 37.5
11 38.7
12 219.1
13 186.3
14 124.2
15 237.8
16 132.5
17 215.5
18 192.6
19 9.1
20 66.5
21 171.4
22 171.3
23 180.2
24 46.5
25 207.2
26 44.6
27 7.7
28 13.6
29 105.1
30 246.2
31 33.7
32 138.6
33 64.9
34 6.9
35 221.3
36 195.1
37 101.5
38 120.8
39 57.9
40 156.5
41 16.3
42 152.3
43 115.4
44 175.8
45 244.1
46 217.2
47 3.1
48 12.8
49 33.2
50 227.3
51 113.8
52 13.6
53 161.8
54 161.5
55 234.2
56 77.4
57 43.8
58 100.4
59 223.9
60 162.6
61 33.4
62 109.2
63 40.9
64 169.7
65 50.5
66 9.7
67 233.1
68 2.6
69 18.0
70 237.1
71 204.9
72 48.8
73 183.5
74 191.1
75 176.1
76 82.1
77 242.9
78 48.8
79 10.9
80 243.8
81 116.9
82 192.0
83 247.0
84 218.5
85 213.8
86 181.8
87 184.7
88 32.0
89 28.1
90 156.8
91 56.7
92 0.6
93 166.8
94 208.6
95 211.6
96 71.5
97 189.8
98 217.3
99 74.1
100 71.0
